key,value,year
gay,0.00,1985
gay,0.00,1986
gay,0.00,1987
gay,0.50,1988
gay,0.25,1989
gay,1.00,1990
gay,1.00,1991
gay,0.25,1992
gay,0.67,1993
gay,1.00,1994
gay,0.89,1995
gay,0.67,1996
gay,0.58,1997
gay,1.00,1998
gay,0.50,1999
gay,0.30,2000
gay,0.53,2001
gay,0.36,2002
gay,0.50,2003
gay,0.52,2004
gay,0.60,2005
gay,0.50,2006
gay,0.30,2007
gay,0.48,2008
gay,0.40,2009
gay,0.40,2010
gay,0.00,2011
gay,0.29,2012
gay,0.50,2013
gay,0.40,2014
gay,0.38,2015
gay,0.20,2016
lesbian,0.00,1985
lesbian,1.00,1986
lesbian,0.00,1987
lesbian,0.50,1988
lesbian,0.50,1989
lesbian,0.00,1990
lesbian,0.00,1991
lesbian,0.50,1992
lesbian,0.00,1993
lesbian,0.00,1994
lesbian,0.11,1995
lesbian,0.00,1996
lesbian,0.42,1997
lesbian,0.00,1998
lesbian,0.42,1999
lesbian,0.40,2000
lesbian,0.06,2001
lesbian,0.00,2002
lesbian,0.30,2003
lesbian,0.13,2004
lesbian,0.16,2005
lesbian,0.50,2006
lesbian,0.60,2007
lesbian,0.15,2008
lesbian,0.27,2009
lesbian,0.29,2010
lesbian,0.50,2011
lesbian,0.50,2012
lesbian,0.39,2013
lesbian,0.40,2014
lesbian,0.50,2015
lesbian,0.60,2016
bisexual,0.00,1985
bisexual,0.00,1986
bisexual,0.00,1987
bisexual,0.00,1988
bisexual,0.25,1989
bisexual,0.00,1990
bisexual,0.00,1991
bisexual,0.25,1992
bisexual,0.33,1993
bisexual,0.00,1994
bisexual,0.00,1995
bisexual,0.33,1996
bisexual,0.00,1997
bisexual,0.00,1998
bisexual,0.08,1999
bisexual,0.30,2000
bisexual,0.41,2001
bisexual,0.64,2002
bisexual,0.20,2003
bisexual,0.35,2004
bisexual,0.20,2005
bisexual,0.00,2006
bisexual,0.10,2007
bisexual,0.36,2008
bisexual,0.33,2009
bisexual,0.31,2010
bisexual,0.50,2011
bisexual,0.21,2012
bisexual,0.11,2013
bisexual,0.10,2014
bisexual,0.13,2015
bisexual,0.00,2016
asexual,0.00,1985
asexual,0.00,1986
asexual,0.00,1987
asexual,0.00,1988
asexual,0.00,1989
asexual,0.00,1990
asexual,0.00,1991
asexual,0.00,1992
asexual,0.00,1993
asexual,0.00,1994
asexual,0.00,1995
asexual,0.00,1996
asexual,0.00,1997
asexual,0.00,1998
asexual,0.00,1999
asexual,0.00,2000
asexual,0.00,2001
asexual,0.00,2002
asexual,0.00,2003
asexual,0.00,2004
asexual,0.04,2005
asexual,0.00,2006
asexual,0.00,2007
asexual,0.00,2008
asexual,0.00,2009
asexual,0.00,2010
asexual,0.00,2011
asexual,0.00,2012
asexual,0.00,2013
asexual,0.10,2014
asexual,0.00,2015
asexual,0.20,2016
trans,0.00,1985
trans,0.00,1986
trans,0.00,1987
trans,1.00,1988
trans,0.50,1989
trans,0.50,1990
trans,0.00,1991
trans,0.00,1992
trans,0.33,1993
trans,0.00,1994
trans,0.00,1995
trans,0.00,1996
trans,0.50,1997
trans,0.00,1998
trans,0.00,1999
trans,0.20,2000
trans,0.63,2001
trans,0.00,2002
trans,0.43,2003
trans,0.50,2004
trans,0.33,2005
trans,0.00,2006
trans,0.00,2007
trans,0.60,2008
trans,0.00,2009
trans,0.00,2010
trans,0.33,2011
trans,0.00,2012
trans,1.00,2013
trans,0.50,2014
trans,0.20,2015
trans,0.50,2016
NB,1.00,1985
NB,0.00,1986
NB,0.00,1987
NB,0.00,1988
NB,0.00,1989
NB,0.00,1990
NB,0.00,1991
NB,0.00,1992
NB,0.00,1993
NB,0.00,1994
NB,0.33,1995
NB,0.00,1996
NB,0.00,1997
NB,0.00,1998
NB,0.00,1999
NB,0.20,2000
NB,0.00,2001
NB,0.29,2002
NB,0.00,2003
NB,0.00,2004
NB,0.00,2005
NB,0.67,2006
NB,1.00,2007
NB,0.00,2008
NB,1.00,2009
NB,0.33,2010
NB,0.00,2011
NB,1.00,2012
NB,0.00,2013
NB,0.25,2014
NB,0.80,2015
NB,0.50,2016
NC,0.00,1985
NC,0.00,1986
NC,0.00,1987
NC,0.00,1988
NC,0.50,1989
NC,0.50,1990
NC,0.00,1991
NC,1.00,1992
NC,0.67,1993
NC,0.00,1994
NC,0.67,1995
NC,1.00,1996
NC,0.50,1997
NC,0.00,1998
NC,1.00,1999
NC,0.60,2000
NC,0.38,2001
NC,0.71,2002
NC,0.57,2003
NC,0.50,2004
NC,0.67,2005
NC,0.33,2006
NC,0.00,2007
NC,0.40,2008
NC,0.00,2009
NC,0.67,2010
NC,0.67,2011
NC,0.00,2012
NC,0.00,2013
NC,0.25,2014
NC,0.00,2015
NC,0.00,2016